City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Butaritari,KI,3.0707,172.7902,81.86,72,57,15.75,broken clouds
80,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.46,91,82,1.88,broken clouds
81,Atar,MR,20.5169,-13.0499,95.54,28,0,8.66,clear sky
82,Olutanga,PH,7.3106,122.8464,83.21,70,100,2.93,light rain
83,Dutse,NG,11.7594,9.3392,74.28,76,91,7.45,overcast clouds
84,Kaeo,NZ,-35.1,173.7833,65.32,79,21,8.59,few clouds
85,Kapaa,US,22.0752,-159.319,87.78,71,40,9.22,scattered clouds
86,Nanortalik,GL,60.1432,-45.2371,43.74,88,56,4.5,broken clouds
87,Sile,TR,41.1754,29.6133,74.57,74,0,4.0,clear sky
88,Kumano,JP,34.3442,132.5894,85.12,75,0,4.41,clear sky
89,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,81,14,3.58,few clouds
90,Chuy,UY,-33.6971,-53.4616,48.11,78,83,14.67,broken clouds
91,Evanston,US,42.0411,-87.6901,79.05,51,75,10.36,broken clouds
92,Touros,BR,-5.1989,-35.4608,75.63,83,12,11.86,few clouds
93,Lusambo,CD,-4.9667,23.45,68.49,49,42,0.13,scattered clouds
94,Meulaboh,ID,4.1363,96.1285,74.73,95,99,3.69,light rain
95,Klaksvik,FO,62.2266,-6.589,52.72,90,97,15.88,overcast clouds
96,Rio Gallegos,AR,-51.6226,-69.2181,41.05,75,0,28.77,clear sky
97,Kangaatsiaq,GL,68.3065,-53.4641,40.89,87,100,4.09,overcast clouds
98,Harper,LR,4.375,-7.7169,74.1,77,80,9.06,broken clouds
99,Port Stanley,FK,-51.7,-57.85,41.29,80,100,25.86,overcast clouds
100,Dromolaxia,CY,34.8761,33.586,83.98,69,0,5.75,clear sky
101,San Quintin,MX,30.4833,-115.95,72.37,70,19,11.41,few clouds
102,Tual,ID,-5.6667,132.75,78.42,87,78,21.3,broken clouds
103,Narsaq,GL,60.9167,-46.05,52.02,71,33,3.13,scattered clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,71.44,82,17,26.13,few clouds
105,Upernavik,GL,72.7868,-56.1549,43.2,71,100,6.26,overcast clouds
106,Albany,US,42.6001,-73.9662,79.57,75,74,8.84,broken clouds
107,Makow Mazowiecki,PL,52.8649,21.1005,55.71,92,30,5.12,scattered clouds
108,Iquique,CL,-20.2208,-70.1431,59.04,80,23,5.37,few clouds
109,Saint-Francois,FR,46.4154,3.9054,63.84,72,0,3.44,clear sky
110,Kashi,CN,39.4547,75.9797,87.19,18,71,10.6,broken clouds
111,Alexandria,EG,31.2156,29.9553,79.86,66,0,6.2,clear sky
112,Bandiagara,ML,14.3501,-3.6104,78.35,64,95,9.06,light rain
113,Krasnovishersk,RU,60.4078,57.082,54.14,80,5,2.26,clear sky
114,Chokurdakh,RU,70.6333,147.9167,57.02,34,100,13.82,overcast clouds
115,Half Moon Bay,US,37.4636,-122.4286,77.86,72,100,19.57,mist
116,Cabo San Lucas,MX,22.8909,-109.9124,93.61,55,40,13.8,scattered clouds
117,Uzunovo,RU,54.5386,38.6173,62.65,96,99,11.03,overcast clouds
118,Lebu,CL,-37.6167,-73.65,48.72,86,0,16.87,clear sky
119,Wavre,BE,50.7333,4.6,65.39,59,100,5.75,overcast clouds
120,Georgetown,MY,5.4112,100.3354,81.9,84,40,0.0,scattered clouds
121,Vila Velha,BR,-20.3297,-40.2925,71.94,82,0,5.99,clear sky
122,Mantua,IT,45.1667,10.7833,74.08,77,74,3.0,broken clouds
123,Havelock,US,34.8791,-76.9013,85.98,86,97,7.0,overcast clouds
124,Wanlaweyn,SO,2.6185,44.8938,72.41,85,12,11.52,few clouds
125,Sitka,US,57.0531,-135.33,58.89,88,100,8.05,light rain
126,Krasnoselkup,RU,65.7,82.4667,56.5,72,0,8.79,clear sky
127,Hadejia,NG,12.4498,10.0444,76.84,71,100,7.45,overcast clouds
128,Cap Malheureux,MU,-19.9842,57.6142,69.48,74,1,1.99,clear sky
129,Codrington,AU,-38.2667,141.9667,49.71,71,22,0.38,few clouds
130,San Carlos De Bariloche,AR,-41.1456,-71.3082,30.36,92,78,6.58,broken clouds
131,Palmas De Monte Alto,BR,-14.2672,-43.1619,70.56,54,0,6.87,clear sky
132,Inirida,CO,3.8653,-67.9239,73.4,95,95,2.8,overcast clouds
133,Hofn,IS,64.2539,-15.2082,51.76,91,100,2.44,overcast clouds
134,Kaitangata,NZ,-46.2817,169.8464,45.68,82,75,9.53,broken clouds
135,Greve Strand,DK,55.5834,12.2999,56.23,88,36,5.75,scattered clouds
136,Sao Filipe,CV,14.8961,-24.4956,79.41,73,11,15.43,few clouds
137,Esso,RU,55.9333,158.7,56.88,68,98,4.83,overcast clouds
138,Jiangyou,CN,31.7667,104.7167,77.92,78,0,3.24,clear sky
139,Thompson,CA,55.7435,-97.8558,77.36,28,67,2.95,broken clouds
140,Cherskiy,RU,68.75,161.3,60.85,37,6,4.05,clear sky
141,Alta Floresta,BR,-9.8756,-56.0861,73.51,36,5,1.68,clear sky
142,Thinadhoo,MV,0.5333,72.9333,81.93,74,79,12.68,broken clouds
143,Tateyama,JP,34.9833,139.8667,85.1,82,36,9.46,scattered clouds
144,Mala,PE,-12.6581,-76.6308,61.18,84,25,1.43,scattered clouds
145,Sumter,US,28.7086,-82.0831,89.2,69,70,8.41,broken clouds
146,Calabozo,VE,8.9242,-67.4293,74.62,93,50,2.24,scattered clouds
147,Vrangel,RU,42.7297,133.0839,72.37,88,100,3.76,overcast clouds
148,Matamba,TZ,-8.9833,33.9667,47.84,89,29,4.79,scattered clouds
149,Baykit,RU,61.67,96.37,64.81,95,100,4.83,overcast clouds
150,Esperance,AU,-33.8667,121.9,58.64,80,51,14.63,broken clouds
151,Floresti,MD,47.8933,28.3014,68.16,53,99,3.71,overcast clouds
152,Burnie,AU,-41.0667,145.9167,41.94,72,5,7.61,clear sky
153,Luderitz,NA,-26.6481,15.1594,52.93,87,67,2.77,broken clouds
154,Hun,LY,29.1268,15.9477,83.1,31,0,6.96,clear sky
155,Tura,IN,25.5198,90.2201,74.3,94,63,2.68,light rain
156,Sola,VU,-13.8833,167.55,79.9,79,55,13.85,broken clouds
157,High Level,CA,58.5169,-117.136,77.11,61,75,11.5,light intensity shower rain
158,Tevaitoa,PF,-16.7833,-151.5,79.11,74,2,23.02,clear sky
159,Carndonagh,IE,55.25,-7.2667,54.45,91,61,4.07,broken clouds
160,High Rock,BS,26.6208,-78.2833,83.95,72,20,15.68,few clouds
161,Otukpo,NG,7.1913,8.1329,69.82,98,100,4.09,overcast clouds
162,Pokhara,NP,28.2333,83.9833,71.19,84,99,2.08,overcast clouds
163,Wundanyi,KE,-3.4019,38.364,57.42,87,49,5.88,scattered clouds
164,Lagoa,PT,39.05,-27.9833,71.83,77,1,3.31,clear sky
165,Muros,ES,42.7762,-9.0603,66.09,84,1,4.56,clear sky
166,Nikolo-Pavlovskoye,RU,57.7831,60.0578,50.95,93,79,4.79,broken clouds
167,Port Lincoln,AU,-34.7333,135.8667,54.66,83,100,13.8,overcast clouds
168,Kloulklubed,PW,7.0419,134.2556,82.9,75,88,10.54,overcast clouds
169,Mar Del Plata,AR,-38.0023,-57.5575,48.09,91,100,18.01,overcast clouds
170,Mecca,SA,21.4267,39.8261,90.0,30,86,3.31,overcast clouds
171,Uri,IN,34.0833,74.0333,70.34,98,93,1.77,overcast clouds
172,Saint George,US,37.1041,-113.5841,97.39,31,0,10.36,clear sky
173,Soma,TR,39.1855,27.6094,66.92,86,0,8.14,clear sky
174,Aksu,CN,41.1231,80.2644,81.3,35,75,4.45,broken clouds
175,Atambua,ID,-9.1061,124.8925,73.2,62,81,5.97,broken clouds
176,Taltal,CL,-25.4,-70.4833,59.31,79,85,2.26,overcast clouds
177,Cascais,PT,38.6979,-9.4215,69.48,73,0,25.01,clear sky
178,Avarua,CK,-21.2078,-159.775,78.85,73,75,24.16,broken clouds
179,Caravelas,BR,-17.7125,-39.2481,69.49,82,2,7.11,clear sky
180,Polis,CY,35.0367,32.4264,75.02,53,0,2.73,clear sky
181,Mahebourg,MU,-20.4081,57.7,69.26,78,6,10.67,clear sky
182,Hithadhoo,MV,-0.6,73.0833,81.41,74,98,13.8,overcast clouds
183,Atbasar,KZ,51.8,68.3333,62.73,89,100,7.56,overcast clouds
184,Saldanha,ZA,-33.0117,17.9442,56.73,82,56,17.72,broken clouds
185,Axim,GH,4.8699,-2.2405,75.33,77,73,11.72,broken clouds
186,Chapais,CA,49.7834,-74.8492,64.18,90,83,4.74,broken clouds
187,Pochutla,MX,15.7432,-96.4661,84.81,79,75,2.06,broken clouds
